rating_diff,player,piece,count
31,white,rook,51
31,white,bishop,33
31,white,knight,40
31,white,queen,102
31,white,king,1
31,black,pawn,9
31,black,rook,61
31,black,bishop,37
31,black,knight,15
31,black,queen,98
31,black,king,0
203,white,pawn,11
203,white,rook,15
203,white,bishop,17
203,white,knight,17
203,white,queen,37
203,white,king,0
203,black,pawn,7
203,black,rook,27
203,black,bishop,13
203,black,knight,11
203,black,queen,26
203,black,king,2
222,white,pawn,5
222,white,rook,23
222,white,bishop,12
222,white,knight,12
222,white,queen,23
222,white,king,1
222,black,pawn,5
222,black,rook,27
222,black,bishop,13
222,black,knight,19
222,black,queen,72
222,black,king,1
338,white,pawn,3
338,white,rook,15
338,white,bishop,7
338,white,knight,6
338,white,queen,18
338,white,king,0
338,black,pawn,0
338,black,rook,8
338,black,bishop,5
338,black,knight,6
338,black,queen,12
338,black,king,0
5,white,pawn,21
5,white,rook,95
5,white,bishop,49
5,white,knight,43
5,white,queen,102
5,white,king,0
5,black,pawn,13
5,black,rook,103
5,black,bishop,46
5,black,knight,42
5,black,queen,125
5,black,king,1
29,white,pawn,12
29,white,rook,66
29,white,bishop,36
29,white,knight,31
29,white,queen,94
29,white,king,1
29,black,pawn,16
29,black,rook,62
29,black,bishop,38
29,black,knight,30
29,black,queen,100
29,black,king,0
259,white,pawn,5
259,white,rook,17
259,white,bishop,7
259,white,knight,20
259,white,queen,31
259,white,king,0
259,black,pawn,4
259,black,rook,12
259,black,bishop,8
259,black,knight,5
259,black,queen,30
259,black,king,0
9,white,pawn,20
9,white,rook,64
9,white,bishop,52
9,white,knight,32
9,white,queen,153
9,white,king,0
9,black,pawn,31
9,black,rook,61
9,black,bishop,63
9,black,knight,46
9,black,queen,98
9,black,king,3
373,white,pawn,5
373,white,rook,13
373,white,bishop,3
373,white,knight,11
373,white,queen,16
373,white,king,0
373,black,pawn,4
373,black,rook,3
373,black,bishop,10
373,black,knight,4
373,black,queen,16
373,black,king,1
66,white,pawn,4
66,white,rook,55
66,white,bishop,26
66,white,knight,22
66,white,queen,80
66,white,king,0
66,black,pawn,6
66,black,rook,39
66,black,bishop,24
66,black,knight,23
66,black,queen,42
66,black,king,0
11,white,pawn,17
11,white,rook,75
11,white,bishop,48
11,white,knight,43
11,white,queen,86
11,white,king,2
11,black,pawn,19
11,black,rook,93
11,black,bishop,37
11,black,knight,29
11,black,queen,122
11,black,king,0
102,white,pawn,7
102,white,rook,54
102,white,bishop,23
102,white,knight,33
102,white,queen,71
102,white,king,0
102,black,pawn,8
102,black,rook,37
102,black,bishop,17
102,black,knight,25
102,black,queen,32
102,black,king,0
62,white,pawn,13
62,white,rook,58
62,white,bishop,20
62,white,knight,23
62,white,queen,80
62,white,king,0
