rating_diff,player,promote_to,count
110,black,rook,0
110,black,bishop,0
110,black,knight,0
110,black,queen,6
12,white,rook,0
12,white,bishop,0
12,white,knight,0
12,white,queen,15
12,black,rook,1
12,black,bishop,0
12,black,knight,0
12,black,queen,11
74,white,rook,0
74,white,bishop,0
74,white,knight,0
74,white,queen,5
74,black,rook,0
74,black,bishop,0
74,black,knight,0
74,black,queen,11
6,white,rook,0
6,white,bishop,0
6,white,knight,0
6,white,queen,8
6,black,rook,0
6,black,bishop,0
6,black,knight,0
6,black,queen,15
180,white,rook,0
180,white,bishop,0
180,white,knight,0
180,white,queen,3
180,black,rook,0
180,black,bishop,0
180,black,knight,0
180,black,queen,3
138,white,rook,0
138,white,bishop,0
138,white,knight,0
138,white,queen,2
138,black,rook,0
138,black,bishop,0
138,black,knight,0
138,black,queen,4
75,white,rook,0
75,white,bishop,0
75,white,knight,0
75,white,queen,8
75,black,rook,0
75,black,bishop,0
75,black,knight,0
75,black,queen,8
278,white,rook,0
278,white,bishop,0
278,white,knight,0
278,white,queen,5
278,black,rook,0
278,black,bishop,0
278,black,knight,0
278,black,queen,0
22,white,rook,0
22,white,bishop,0
22,white,knight,0
22,white,queen,9
22,black,rook,1
22,black,bishop,0
22,black,knight,0
22,black,queen,4
125,white,rook,0
125,white,bishop,0
125,white,knight,0
125,white,queen,0
125,black,rook,0
125,black,bishop,0
125,black,knight,0
125,black,queen,1
29,white,rook,0
29,white,bishop,0
29,white,knight,0
29,white,queen,8
29,black,rook,0
29,black,bishop,0
29,black,knight,0
29,black,queen,8
246,white,rook,0
246,white,bishop,0
246,white,knight,0
246,white,queen,4
246,black,rook,0
246,black,bishop,0
246,black,knight,0
246,black,queen,3
302,white,rook,1
302,white,bishop,1
302,white,knight,0
302,white,queen,5
302,black,rook,0
302,black,bishop,0
302,black,knight,0
302,black,queen,2
315,white,rook,0
315,white,bishop,0
315,white,knight,0
315,white,queen,2
315,black,rook,0
315,black,bishop,0
315,black,knight,0
315,black,queen,2
80,white,rook,0
80,white,bishop,0
80,white,knight,0
80,white,queen,9
80,black,rook,1
80,black,bishop,0
80,black,knight,0
80,black,queen,8
159,white,rook,0
159,white,bishop,0
159,white,knight,0
159,white,queen,2
159,black,rook,0
159,black,bishop,0
159,black,knight,0
159,black,queen,4
19,white,rook,0
19,white,bishop,0
19,white,knight,0
19,white,queen,6
19,black,rook,0
19,black,bishop,0
19,black,knight,0
19,black,queen,9
201,white,rook,0
201,white,bishop,0
201,white,knight,0
201,white,queen,3
201,black,rook,0
201,black,bishop,0
201,black,knight,0
201,black,queen,5
189,white,rook,0
189,white,bishop,0
189,white,knight,0
189,white,queen,4
189,black,rook,0
189,black,bishop,0
189,black,knight,0
189,black,queen,7
47,white,rook,1
47,white,bishop,0
47,white,knight,0
47,white,queen,4
47,black,rook,0
47,black,bishop,0
47,black,knight,0
47,black,queen,3
321,white,rook,0
321,white,bishop,0
321,white,knight,0
321,white,queen,2
321,black,rook,0
321,black,bishop,0
321,black,knight,0
321,black,queen,1
14,white,rook,1
14,white,bishop,0
14,white,knight,0
14,white,queen,10
14,black,rook,0
14,black,bishop,0
14,black,knight,0
14,black,queen,12
304,white,rook,1
304,white,bishop,0
304,white,knight,0
304,white,queen,1
304,black,rook,0
304,black,bishop,0
304,black,knight,0
304,black,queen,7
131,white,rook,0
131,white,bishop,0
131,white,knight,0
131,white,queen,9
131,black,rook,0
131,black,bishop,0
131,black,knight,0
131,black,queen,0
139,white,rook,0
139,white,bishop,0
139,white,knight,0
139,white,queen,5
139,black,rook,0
139,black,bishop,0
139,black,knight,0
139,black,queen,2
42,white,rook,0
42,white,bishop,0
42,white,knight,0
42,white,queen,7
42,black,rook,0
42,black,bishop,0
42,black,knight,0
42,black,queen,12
98,white,rook,0
98,white,bishop,0
98,white,knight,0
98,white,queen,4
98,black,rook,0
98,black,bishop,0
98,black,knight,0
98,black,queen,5
232,white,rook,0
232,white,bishop,0
232,white,knight,0
232,white,queen,4
232,black,rook,0
232,black,bishop,0
232,black,knight,0
232,black,queen,0
851,white,rook,0
851,white,bishop,0
851,white,knight,0
851,white,queen,0
851,black,rook,0
851,black,bishop,0
851,black,knight,0
851,black,queen,1
41,white,rook,0
41,white,bishop,0
41,white,knight,0
41,white,queen,3
41,black,rook,0
41,black,bishop,0
41,black,knight,0
41,black,queen,4
8,white,rook,1
8,white,bishop,0
8,white,knight,0
8,white,queen,7
8,black,rook,0
8,black,bishop,0
8,black,knight,0
8,black,queen,12
100,white,rook,0
100,white,bishop,0
100,white,knight,0
100,white,queen,4
100,black,rook,0
100,black,bishop,0
100,black,knight,0
100,black,queen,5
33,white,rook,0
33,white,bishop,0
33,white,knight,0
33,white,queen,10
33,black,rook,1
33,black,bishop,0
33,black,knight,0
33,black,queen,12
198,white,rook,0
198,white,bishop,0
198,white,knight,0
