rating_average,winner,count
2342,white,1
2342,black,1
2342,draw,0
2424,white,0
2424,black,0
2424,draw,1
2350,white,1
2350,black,0
2350,draw,0
2280,white,0
2280,black,3
2280,draw,0
2375,white,0
2375,black,1
2375,draw,0
2226,white,2
2226,black,0
2226,draw,0
2372,white,0
2372,black,1
2372,draw,0
2322,white,1
2322,black,1
2322,draw,0
2340,white,0
2340,black,2
2340,draw,0
2394,white,0
2394,black,0
2394,draw,1
2242,white,4
2242,black,1
2242,draw,0
2249,white,1
2249,black,2
2249,draw,2
2296,white,1
2296,black,1
2296,draw,0
2206,white,2
2206,black,3
2206,draw,0
1456,white,17
1456,black,18
1456,draw,0
1699,white,6
1699,black,4
1699,draw,0
1809,white,3
1809,black,5
1809,draw,1
1684,white,22
1684,black,25
1684,draw,1
1742,white,19
1742,black,20
1742,draw,2
1679,white,0
1679,black,3
1679,draw,1
1709,white,7
1709,black,5
1709,draw,2
1750,white,9
1750,black,8
1750,draw,0
1585,white,10
1585,black,7
1585,draw,1
1692,white,20
1692,black,27
1692,draw,2
1703,white,9
1703,black,6
1703,draw,0
1734,white,12
1734,black,14
1734,draw,3
1772,white,10
1772,black,17
1772,draw,4
1700,white,14
1700,black,22
1700,draw,0
1711,white,7
1711,black,10
1711,draw,1
2067,white,2
2067,black,0
2067,draw,0
1771,white,6
1771,black,6
1771,draw,1
1651,white,8
1651,black,4
1651,draw,2
1661,white,10
1661,black,1
1661,draw,1
1666,white,22
1666,black,11
1666,draw,2
1660,white,25
1660,black,18
1660,draw,1
1849,white,6
1849,black,3
1849,draw,1
1866,white,14
1866,black,15
1866,draw,1
1794,white,12
1794,black,15
1794,draw,2
1875,white,7
1875,black,3
1875,draw,0
1656,white,22
1656,black,14
1656,draw,3
1892,white,18
1892,black,16
1892,draw,2
1853,white,8
1853,black,4
1853,draw,0
1861,white,1
1861,black,7
1861,draw,1
1765,white,6
1765,black,8
1765,draw,0
1905,white,2
1905,black,2
1905,draw,3
2203,white,2
2203,black,0
2203,draw,0
2181,white,2
2181,black,0
2181,draw,0
2009,white,2
2009,black,1
2009,draw,0
2008,white,8
2008,black,7
2008,draw,0
2006,white,7
2006,black,4
2006,draw,2
2005,white,1
2005,black,2
2005,draw,0
2178,white,6
2178,black,5
2178,draw,0
2099,white,4
2099,black,2
2099,draw,0
2120,white,6
2120,black,3
2120,draw,0
1799,white,9
1799,black,3
1799,draw,0
1999,white,4
1999,black,2
1999,draw,0
1998,white,11
1998,black,11
1998,draw,0
1719,white,2
1719,black,7
1719,draw,0
1938,white,5
1938,black,6
1938,draw,0
1777,white,7
1777,black,4
1777,draw,0
1565,white,7
1565,black,5
1565,draw,0
1512,white,27
1512,black,17
1512,draw,2
1542,white,21
1542,black,22
1542,draw,2
827,white,1
827,black,0
827,draw,0
957,white,2
957,black,1
957,draw,0
908,white,0
908,black,1
908,draw,0
1168,white,8
1168,black,6
1168,draw,0
1218,white,8
1218,black,8
1218,draw,1
1133,white,1
1133,black,1
1133,draw,1
1077,white,3
1077,black,0
1077,draw,0
1048,white,3
1048,black,3
1048,draw,1
1120,white,5
1120,black,9
1120,draw,0
1200,white,11
1200,black,2
1200,draw,0
890,white,1
890,black,1
890,draw,0
1074,white,1
1074,black,2
1074,draw,0
1199,white,3
1199,black,2
1199,draw,0
1207,white,3
1207,black,2
1207,draw,0
1320,white,20
1320,black,9
1320,draw,1
1128,white,10
1128,black,4
1128,draw,0
2081,white,3
2081,black,0
2081,draw,1
2077,white,1
2077,black,2
2077,draw,3
1725,white,7
1725,black,5
1725,draw,6
1847,white,8
1847,black,4
1847,draw,0
1873,white,0
1873,black,5
1873,draw,3
1631,white,6
1631,black,6
1631,draw,2
2034,white,9
2034,black,13
2034,draw,0
1655,white,5
1655,black,6
1655,draw,0
1654,white,20
1654,black,13
1654,draw,2
1863,white,3
1863,black,4
1863,draw,0
1672,white,20
1672,black,15
1672,draw,1
1622,white,16
1622,black,16
1622,draw,2
1610,white,20
1610,black,22
1610,draw,2
1629,white,7
1629,black,11
1629,draw,1
1785,white,4
1785,black,7
1785,draw,1
1681,white,2
1681,black,8
1681,draw,0
1688,white,18
1688,black,15
1688,draw,0
1783,white,12
1783,black,1
1783,draw,2
1782,white,7
1782,black,9
1782,draw,1
1830,white,20
1830,black,13
1830,draw,2
1639,white,8
1639,black,4
1639,draw,1
1968,white,6
1968,black,7
1968,draw,3
1713,white,8
1713,black,6
1713,draw,0
1501,white,10
1501,black,7
1501,draw,0
1962,white,13
1962,black,11
1962,draw,0
1955,white,6
1955,black,5
1955,draw,0
1896,white,18
1896,black,10
1896,draw,1
2014,white,5
2014,black,7
2014,draw,1
1808,white,19
1808,black,11
1808,draw,0
1860,white,17
1860,black,17
1860,draw,1
1748,white,19
1748,black,14
1748,draw,2
1910,white,11
1910,black,6
1910,draw,0
1836,white,8
1836,black,8
1836,draw,1
1746,white,13
1746,black,18
1746,draw,1
1946,white,12
1946,black,7
1946,draw,0
1804,white,8
1804,black,14
1804,draw,1
1546,white,22
1546,black,26
1546,draw,1
1554,white,17
1554,black,11
1554,draw,0
1573,white,10
1573,black,5
1573,draw,2
2020,white,4
2020,black,7
2020,draw,1
1982,white,8
1982,black,6
1982,draw,0
1942,white,8
1942,black,12
1942,draw,1
1738,white,14
1738,black,21
1738,draw,0
1974,white,3
1974,black,6
1974,draw,0
2116,white,9
2116,black,4
2116,draw,2
1920,white,16
1920,black,11
1920,draw,0
2144,white,2
2144,black,2
2144,draw,0
1876,white,10
1876,black,4
1876,draw,0
1888,white,17
1888,black,8
1888,draw,1
1950,white,10
1950,black,4
1950,draw,0
2010,white,5
2010,black,5
2010,draw,0
2074,white,7
2074,black,5
2074,draw,0
2184,white,3
2184,black,1
2184,draw,0
1689,white,4
1689,black,5
1689,draw,1
1745,white,1
1745,black,4
1745,draw,1
1761,white,4
1761,black,5
1761,draw,0
1802,white,18
1802,black,12
1802,draw,1
1857,white,3
1857,black,3
1857,draw,0
1815,white,6
1815,black,7
1815,draw,0
1800,white,19
1800,black,11
1800,draw,1
1867,white,3
1867,black,5
1867,draw,0
1947,white,1
1947,black,5
1947,draw,0
1812,white,19
1812,black,15
1812,draw,2
1818,white,8
1818,black,14
1818,draw,0
1882,white,10
1882,black,5
1882,draw,2
