rating_diff,player,piece_moved,piece_taken,count
582,black,pawn,queen,1
582,black,rook,pawn,0
582,black,rook,rook,0
582,black,rook,bishop,0
582,black,rook,knight,0
582,black,rook,queen,0
582,black,bishop,pawn,0
582,black,bishop,rook,0
582,black,bishop,bishop,1
582,black,bishop,knight,2
582,black,bishop,queen,0
582,black,knight,pawn,2
582,black,knight,rook,0
582,black,knight,bishop,0
582,black,knight,knight,2
582,black,knight,queen,1
582,black,queen,pawn,1
582,black,queen,rook,0
582,black,queen,bishop,2
582,black,queen,knight,0
582,black,queen,queen,0
582,black,king,pawn,0
582,black,king,rook,0
582,black,king,bishop,0
582,black,king,knight,0
582,black,king,queen,0
201,white,pawn,pawn,50
201,white,pawn,rook,1
201,white,pawn,bishop,13
201,white,pawn,knight,14
201,white,pawn,queen,3
201,white,rook,pawn,28
201,white,rook,rook,26
201,white,rook,bishop,7
201,white,rook,knight,5
201,white,rook,queen,6
201,white,bishop,pawn,23
201,white,bishop,rook,5
201,white,bishop,bishop,21
201,white,bishop,knight,22
201,white,bishop,queen,8
201,white,knight,pawn,29
201,white,knight,rook,4
201,white,knight,bishop,20
201,white,knight,knight,15
201,white,knight,queen,5
201,white,queen,pawn,21
201,white,queen,rook,8
201,white,queen,bishop,10
201,white,queen,knight,5
201,white,queen,queen,5
201,white,king,pawn,5
201,white,king,rook,4
201,white,king,bishop,1
201,white,king,knight,3
201,white,king,queen,0
201,black,pawn,pawn,58
201,black,pawn,rook,6
201,black,pawn,bishop,13
201,black,pawn,knight,16
201,black,pawn,queen,1
201,black,rook,pawn,29
201,black,rook,rook,20
201,black,rook,bishop,7
201,black,rook,knight,5
201,black,rook,queen,4
201,black,bishop,pawn,25
201,black,bishop,rook,7
201,black,bishop,bishop,6
201,black,bishop,knight,24
201,black,bishop,queen,1
201,black,knight,pawn,22
201,black,knight,rook,6
201,black,knight,bishop,19
201,black,knight,knight,8
201,black,knight,queen,5
201,black,queen,pawn,31
201,black,queen,rook,5
201,black,queen,bishop,15
201,black,queen,knight,16
201,black,queen,queen,11
201,black,king,pawn,2
201,black,king,rook,3
201,black,king,bishop,5
201,black,king,knight,1
201,black,king,queen,2
310,white,pawn,pawn,21
310,white,pawn,rook,0
310,white,pawn,bishop,6
310,white,pawn,knight,10
310,white,pawn,queen,2
310,white,rook,pawn,4
310,white,rook,rook,9
310,white,rook,bishop,2
310,white,rook,knight,0
310,white,rook,queen,2
310,white,bishop,pawn,2
310,white,bishop,rook,3
310,white,bishop,bishop,7
310,white,bishop,knight,8
310,white,bishop,queen,1
310,white,knight,pawn,11
310,white,knight,rook,0
310,white,knight,bishop,1
310,white,knight,knight,6
310,white,knight,queen,2
310,white,queen,pawn,14
310,white,queen,rook,1
310,white,queen,bishop,2
310,white,queen,knight,3
310,white,queen,queen,2
310,white,king,pawn,3
310,white,king,rook,3
310,white,king,bishop,2
310,white,king,knight,2
310,white,king,queen,1
310,black,pawn,pawn,24
310,black,pawn,rook,0
310,black,pawn,bishop,6
310,black,pawn,knight,1
310,black,pawn,queen,1
310,black,rook,pawn,4
310,black,rook,rook,4
310,black,rook,bishop,3
310,black,rook,knight,2
310,black,rook,queen,1
310,black,bishop,pawn,10
310,black,bishop,rook,3
310,black,bishop,bishop,5
310,black,bishop,knight,9
310,black,bishop,queen,2
310,black,knight,pawn,14
310,black,knight,rook,1
310,black,knight,bishop,2
310,black,knight,knight,8
310,black,knight,queen,0
310,black,queen,pawn,11
310,black,queen,rook,2
310,black,queen,bishop,6
310,black,queen,knight,5
310,black,queen,queen,5
310,black,king,pawn,1
310,black,king,rook,4
310,black,king,bishop,2
310,black,king,knight,1
310,black,king,queen,1
141,white,pawn,pawn,61
141,white,pawn,rook,1
141,white,pawn,bishop,14
141,white,pawn,knight,13
141,white,pawn,queen,2
141,white,rook,pawn,22
141,white,rook,rook,16
141,white,rook,bishop,4
141,white,rook,knight,1
141,white,rook,queen,2
141,white,bishop,pawn,10
141,white,bishop,rook,5
141,white,bishop,bishop,15
141,white,bishop,knight,13
141,white,bishop,queen,4
141,white,knight,pawn,19
141,white,knight,rook,8
141,white,knight,bishop,9
141,white,knight,knight,12
141,white,knight,queen,2
141,white,queen,pawn,30
141,white,queen,rook,4
141,white,queen,bishop,7
141,white,queen,knight,7
141,white,queen,queen,6
141,white,king,pawn,6
141,white,king,rook,3
141,white,king,bishop,1
141,white,king,knight,2
141,white,king,queen,2
141,black,pawn,pawn,62
141,black,pawn,rook,3
141,black,pawn,bishop,12
141,black,pawn,knight,13
141,black,pawn,queen,2
141,black,rook,pawn,14
141,black,rook,rook,10
141,black,rook,bishop,6
141,black,rook,knight,6
141,black,rook,queen,4
141,black,bishop,pawn,15
141,black,bishop,rook,6
141,black,bishop,bishop,17
141,black,bishop,knight,17
141,black,bishop,queen,2
141,black,knight,pawn,24
141,black,knight,rook,1
