rating_diff,player,square,count
486,white,14,2
486,white,55,3
486,white,37,2
486,white,63,1
486,white,44,1
486,white,10,1
486,white,29,5
486,white,22,3
486,white,62,2
486,white,61,1
486,white,42,1
486,white,52,1
486,white,41,1
486,white,43,1
486,white,0,1
486,white,2,4
486,white,31,1
486,white,16,1
486,white,46,1
486,white,50,1
486,black,44,6
486,black,35,12
486,black,34,6
486,black,42,8
486,black,41,5
486,black,9,2
486,black,27,8
486,black,25,4
486,black,8,2
486,black,17,1
486,black,10,2
486,black,20,4
486,black,52,5
486,black,37,4
486,black,28,3
486,black,5,3
486,black,40,6
486,black,36,6
486,black,45,9
486,black,33,2
486,black,62,7
486,black,18,6
486,black,30,3
486,black,43,1
486,black,59,2
486,black,21,3
486,black,23,3
486,black,63,2
486,black,51,4
486,black,32,2
486,black,24,1
486,black,29,1
486,black,13,1
486,black,22,1
486,black,16,1
486,black,47,2
486,black,54,3
486,black,19,2
486,black,1,2
486,black,3,2
486,black,11,1
486,black,55,1
486,black,53,1
486,black,60,6
486,black,58,3
486,black,57,1
486,black,15,2
486,black,50,2
486,black,49,2
486,black,14,3
486,black,0,1
486,black,61,1
486,black,38,3
486,black,2,1
486,black,12,1
486,black,46,2
486,black,39,1
486,black,31,1
486,black,7,1
555,white,28,6
555,white,21,7
555,white,35,6
555,white,12,7
555,white,18,8
555,white,27,6
555,white,30,4
555,white,14,5
555,white,6,5
555,white,23,5
555,white,29,8
555,white,4,6
555,white,20,6
555,white,38,4
555,white,17,6
555,white,3,7
555,white,11,6
555,white,26,5
555,white,24,3
555,white,0,4
555,white,8,6
555,white,22,3
555,white,36,5
555,white,5,4
555,white,2,3
555,white,13,1
555,white,25,3
555,white,16,2
555,white,10,5
555,white,19,4
555,white,32,2
555,white,9,4
555,white,1,4
555,white,34,1
555,white,31,2
555,white,33,4
555,white,52,2
555,white,15,6
555,white,7,1
555,white,41,3
555,white,49,2
555,white,57,1
555,white,43,4
555,white,50,1
555,white,59,1
555,white,40,1
555,white,51,1
555,white,47,1
555,white,60,1
555,white,37,1
555,black,44,6
555,black,35,8
555,black,52,5
555,black,45,6
555,black,62,5
555,black,30,2
555,black,51,6
555,black,42,5
555,black,39,3
555,black,60,6
555,black,43,5
555,black,41,3
555,black,47,3
555,black,26,6
555,black,20,3
555,black,29,5
555,black,32,4
555,black,25,5
555,black,50,1
555,black,18,5
555,black,22,3
555,black,34,2
555,black,46,5
555,black,28,6
555,black,36,10
555,black,37,9
555,black,19,3
555,black,2,2
555,black,10,4
555,black,16,3
555,black,48,1
555,black,8,4
555,black,4,1
555,black,15,2
555,black,12,2
555,black,11,2
555,black,3,1
555,black,9,4
555,black,17,3
555,black,61,2
555,black,38,4
555,black,27,2
555,black,40,3
555,black,59,1
555,black,33,4
555,black,23,2
555,black,53,3
555,black,49,2
555,black,1,1
555,black,54,1
555,black,57,2
555,black,55,1
555,black,21,2
555,black,6,1
555,black,24,2
226,white,28,23
226,white,39,3
226,white,36,12
226,white,27,18
226,white,33,9
226,white,49,7
226,white,17,8
226,white,20,22
226,white,21,28
226,white,19,12
226,white,13,4
226,white,30,6
226,white,22,10
226,white,18,22
226,white,26,17
226,white,34,9
226,white,35,9
226,white,12,14
226,white,38,9
226,white,11,15
226,white,2,8
226,white,4,11
226,white,54,1
226,white,63,4
226,white,16,7
226,white,3,7
226,white,60,2
226,white,24,7
226,white,10,9
226,white,1,5
226,white,61,5
226,white,45,4
226,white,53,6
226,white,55,1
226,white,9,6
226,white,51,6
226,white,59,3
226,white,58,3
226,white,29,8
226,white,50,4
226,white,42,6
226,white,0,4
226,white,25,9
226,white,56,2
226,white,43,6
226,white,6,8
226,white,23,8
226,white,40,2
226,white,48,2
226,white,52,4
226,white,31,2
226,white,8,1
226,white,37,5
226,white,44,4
226,white,5,3
226,white,47,1
226,white,15,3
226,white,32,2
226,white,14,4
226,white,7,2
226,white,46,1
226,black,44,18
226,black,46,8
226,black,45,23
226,black,43,7
226,black,51,10
226,black,42,21
226,black,28,12
226,black,54,6
226,black,39,13
226,black,29,7
226,black,19,4
226,black,27,13
226,black,34,19
226,black,35,24
226,black,52,10
226,black,25,9
226,black,40,5
226,black,18,8
226,black,58,9
226,black,47,4
226,black,63,3
226,black,24,4
226,black,61,5
226,black,50,5
226,black,26,7
226,black,41,7
226,black,32,8
226,black,48,2
226,black,56,3
226,black,57,6
226,black,59,9
226,black,36,13
226,black,38,7
226,black,53,7
226,black,55,3
226,black,3,6
226,black,17,5
226,black,8,4
226,black,37,7
226,black,62,11
226,black,60,7
226,black,10,5
226,black,33,6
226,black,30,8
226,black,23,8
226,black,21,7
226,black,31,10
226,black,22,5
226,black,7,2
226,black,20,6
226,black,11,3
226,black,4,1
226,black,13,3
226,black,16,1
226,black,0,3
226,black,15,2
226,black,9,2
226,black,14,2
226,black,49,3
206,white,28,55
206,white,21,56
206,white,26,45
206,white,19,33
206,white,6,23
206,white,18,61
206,white,35,31
206,white,4,23
206,white,45,9
206,white,49,7
206,white,48,6
206,white,11,43
