rate_diff,winner,count
-91,black,25
-91,draw,0
-42,white,16
-42,black,17
-42,draw,4
-219,white,6
-219,black,15
-219,draw,1
117,white,13
117,black,9
117,draw,1
-146,white,11
-146,black,13
-146,draw,1
-227,white,4
-227,black,19
-227,draw,0
-204,white,7
-204,black,16
-204,draw,0
140,white,15
140,black,5
140,draw,1
86,white,27
86,black,17
86,draw,4
92,white,13
92,black,11
92,draw,0
-323,white,0
-323,black,11
-323,draw,0
-98,white,10
-98,black,13
-98,draw,0
216,white,4
216,black,2
216,draw,0
-330,white,2
-330,black,9
-330,draw,0
-215,white,5
-215,black,12
-215,draw,0
-369,white,2
-369,black,10
-369,draw,0
298,white,8
298,black,2
298,draw,1
-171,white,5
-171,black,11
-171,draw,2
-692,white,1
-692,black,0
-692,draw,0
423,white,7
423,black,3
423,draw,0
-433,white,0
-433,black,2
-433,draw,1
737,white,1
737,black,0
737,draw,0
271,white,9
271,black,1
271,draw,1
-737,white,0
-737,black,2
-737,draw,0
188,white,10
188,black,8
188,draw,1
767,white,1
767,black,1
767,draw,0
-156,white,9
-156,black,8
-156,draw,1
334,white,8
334,black,1
334,draw,0
135,white,20
135,black,8
135,draw,1
-396,white,2
-396,black,8
-396,draw,0
78,white,19
78,black,10
78,draw,4
-492,white,1
-492,black,4
-492,draw,0
490,white,3
490,black,0
490,draw,0
-490,white,0
-490,black,4
-490,draw,0
427,white,2
427,black,3
427,draw,0
506,white,3
506,black,0
506,draw,0
498,white,5
498,black,0
498,draw,0
312,white,9
312,black,2
312,draw,0
-447,white,0
-447,black,8
-447,draw,0
442,white,9
442,black,0
442,draw,0
-700,white,0
-700,black,1
-700,draw,0
-385,white,2
-385,black,4
-385,draw,1
649,white,2
649,black,0
649,draw,0
-443,white,1
-443,black,6
-443,draw,0
-472,white,1
-472,black,5
-472,draw,0
336,white,7
336,black,2
336,draw,0
-362,white,0
-362,black,8
-362,draw,1
257,white,9
257,black,5
257,draw,1
-970,white,0
-970,black,1
-970,draw,0
335,white,5
335,black,1
335,draw,0
-859,white,0
-859,black,1
-859,draw,0
-439,white,1
-439,black,3
-439,draw,0
-351,white,0
-351,black,4
-351,draw,1
177,white,8
177,black,4
177,draw,2
235,white,11
235,black,5
235,draw,2
-159,white,6
-159,black,9
-159,draw,0
-296,white,3
-296,black,6
-296,draw,1
760,white,1
760,black,0
760,draw,0
582,white,2
582,black,1
582,draw,0
-297,white,4
-297,black,10
-297,draw,0
-281,white,1
-281,black,4
-281,draw,1
-241,white,4
-241,black,11
-241,draw,0
-500,white,1
-500,black,1
-500,draw,0
-399,white,0
-399,black,5
-399,draw,0
387,white,6
387,black,0
387,draw,2
-12,white,30
-12,black,27
-12,draw,4
-118,white,6
-118,black,22
-118,draw,0
98,white,20
98,black,13
98,draw,0
64,white,27
64,black,17
64,draw,1
-56,white,20
-56,black,18
-56,draw,3
-599,white,0
-599,black,2
-599,draw,0
159,white,14
159,black,10
159,draw,1
-314,white,3
-314,black,5
-314,draw,0
4,white,30
4,black,32
4,draw,5
-126,white,7
-126,black,12
-126,draw,1
-278,white,0
-278,black,5
-278,draw,1
73,white,20
73,black,11
73,draw,1
33,white,20
33,black,24
33,draw,0
374,white,4
374,black,2
374,draw,0
-133,white,9
-133,black,12
-133,draw,1
-143,white,6
-143,black,18
-143,draw,1
-300,white,4
-300,black,8
-300,draw,1
-175,white,7
-175,black,19
-175,draw,2
409,white,9
409,black,0
409,draw,0
285,white,5
285,black,3
285,draw,0
-216,white,1
-216,black,8
-216,draw,2
-177,white,3
-177,black,12
-177,draw,3
386,white,2
386,black,1
386,draw,0
41,white,16
41,black,15
41,draw,5
-445,white,1
-445,black,7
-445,draw,0
-322,white,3
-322,black,4
-322,draw,0
683,white,1
683,black,1
683,draw,0
370,white,3
370,black,2
370,draw,1
315,white,8
315,black,2
315,draw,0
-161,white,14
-161,black,9
-161,draw,1
210,white,10
210,black,3
210,draw,0
